,close,high,low,open,volume
1602230400,183.66,183.66,183.66,183.66,1
1602231600,184.84,184.84,184.84,184.84,2
1602232800,184.84,184.84,184.84,184.84,0
1602234000,184.43,184.43,184.43,184.43,1
1602235200,184.43,184.43,184.43,184.43,0
1602236400,184.43,184.43,184.43,184.43,0
1602237600,184.87,184.87,184.87,184.87,1
1602238800,184.87,184.87,184.87,184.87,0
1602240000,184.87,184.9,184.79,184.89,5
1602241200,184.6,184.89,184.47,184.47,10
1602242400,185.0,185.0,184.89,184.89,11
1602243600,185.5,185.5,185.01,185.01,12
1602244800,185.83,185.83,184.8,184.9,70
1602246000,185.85,185.95,185.62,185.83,40
1602247200,185.51,185.78,185.51,185.78,43
1602248400,185.5,185.79,185.47,185.73,31
1602249600,184.28,185.7,183.77,185.6,3375
1602250800,184.34,185.02,184.05,184.28,2634
1602252000,184.08,184.5,183.73,184.35,3021
1602253200,185.33,185.64,184.07,184.12,3097
1602254400,185.17,185.56,184.61,185.23,1643
1602255600,185.18,185.55,185.17,185.3,1313
1602256800,185.63,185.69,185.18,185.21,1553
1602258000,185.73,186.17,185.29,185.63,2872
1602259200,186.76,186.88,185.54,185.73,2162
1602260400,186.67,186.87,186.05,186.76,2153
1602261600,186.82,187.19,186.45,186.66,1362
1602262800,186.6,187.38,186.6,186.88,1937
1602264000,185.77,186.66,185.7,186.58,2064
1602265200,186.8,186.8,185.7,185.75,1257
1602266400,186.51,186.98,186.15,186.79,1331
1602267600,186.34,186.64,186.19,186.46,850
1602268800,186.98,187.07,186.19,186.24,2308
1602270000,188.3,188.74,186.95,186.97,5477
1602271200,187.35,188.35,187.3,188.3,4092
1602272400,187.25,187.55,186.52,187.36,5844
1602273600,187.42,187.59,187.01,187.01,3306
1602274800,187.45,187.58,187.4,187.42,15
1602276000,187.3,187.6,187.3,187.6,59
1602277200,188.0,188.0,188.0,188.0,14
1602278400,187.96,187.96,187.46,187.46,36
1602279600,187.4,187.8,187.4,187.8,3
1602280800,187.55,187.55,187.31,187.45,35
1602282000,187.32,187.6,187.3,187.3,4
1602283200,187.2,187.32,187.2,187.3,21
1602284400,187.4,187.4,187.4,187.4,1
1602285600,187.15,187.39,187.15,187.17,13
1602286800,187.5,187.5,187.27,187.3,16
1602489600,190.0,190.0,189.95,189.95,6
1602490800,191.0,191.0,191.0,191.0,1
1602492000,190.95,190.98,190.5,190.5,5
1602493200,190.84,190.84,190.8,190.84,6
1602494400,190.9,190.9,190.5,190.9,12
1602495600,190.9,190.9,190.9,190.9,0
1602496800,190.65,190.65,190.65,190.65,3
1602498000,190.6,190.66,190.6,190.66,3
1602499200,190.89,190.89,190.84,190.84,2
1602500400,190.58,191.38,190.0,190.8,100
1602501600,190.73,191.0,190.5,190.5,33
1602502800,191.2,191.25,190.49,190.8,37
1602504000,191.08,191.9,190.05,190.7,97
1602505200,191.59,191.65,191.1,191.1,66
1602506400,191.22,191.72,191.18,191.7,82
1602507600,190.85,191.5,190.81,191.18,75
1602508800,190.45,191.94,189.61,191.0,6635
1602510000,189.44,190.84,187.28,190.38,6614
1602511200,188.68,189.41,187.56,189.28,3454
1602512400,188.41,189.17,187.93,188.68,2650
1602513600,188.83,188.95,188.13,188.54,1242
1602514800,188.21,189.06,188.01,188.85,1529
1602516000,186.08,188.29,186.01,188.24,4424
1602517200,185.21,186.4,184.26,186.12,5824
1602518400,186.51,186.85,185.09,185.2,4517
1602519600,186.54,187.4,186.28,186.55,1927
1602520800,187.35,187.66,186.52,186.6,1611
1602522000,187.2,187.54,186.92,187.33,1114
1602523200,186.63,187.16,186.29,187.15,1829
1602524400,186.41,186.88,186.03,186.72,1520
1602525600,185.73,187.1,185.63,186.44,2176
1602526800,186.02,186.29,185.61,185.75,1280
1602528000,185.25,186.19,185.07,186.1,2157
1602529200,184.81,185.9,184.66,185.25,2189
1602530400,184.84,185.36,184.5,184.82,3004
1602531600,185.25,185.79,184.77,184.81,3833
1602532800,185.25,185.36,185.05,185.05,1566
1602534000,185.38,185.75,185.25,185.3,59
1602535200,185.5,185.5,185.5,185.5,2
1602536400,185.68,185.7,185.68,185.7,3
1602537600,185.5,185.66,185.46,185.47,5
1602538800,185.45,185.59,185.45,185.59,9
1602540000,185.6,185.6,185.44,185.45,34
1602541200,185.51,185.6,185.51,185.6,5
1602542400,185.59,185.59,185.55,185.55,3
1602543600,185.6,185.6,185.5,185.51,18
1602544800,185.7,185.7,185.5,185.5,11
1602546000,185.83,185.83,185.75,185.75,8
1602576000,184.81,184.81,184.58,184.58,8
1602577200,185.16,185.16,185.0,185.0,3
1602578400,186.3,186.3,185.23,185.23,34
1602579600,186.3,186.3,186.3,186.3,0
1602580800,186.3,186.3,186.3,186.3,0
1602582000,186.84,186.84,186.83,186.83,5
1602583200,186.99,187.0,186.98,186.98,8
1602584400,187.05,187.05,187.0,187.0,2
1602585600,186.33,187.11,186.32,187.11,14
1602586800,186.6,186.67,186.3,186.3,25
1602588000,186.74,186.74,186.32,186.5,12
