,close,high,low,open,volume
1599724800,116.86,116.9,115.75,116.82,261
1599725100,116.6,116.6,116.25,116.52,53
1599725400,115.71,116.6,115.69,116.57,157
1599725700,116.01,116.01,115.71,116.0,31
1599726000,116.05,116.18,115.97,116.0,21
1599726300,116.6,116.6,116.0,116.18,25
1599726600,116.73,116.74,116.6,116.6,27
1599726900,116.94,116.94,116.66,116.66,26
1599727200,116.99,117.14,116.91,116.99,56
1599727500,117.21,117.31,117.01,117.01,25
1599727800,117.03,117.28,117.03,117.21,32
1599728100,116.73,117.27,116.73,117.15,27
1599728400,117.3,117.3,116.64,116.82,36
1599728700,117.55,117.7,117.32,117.34,31
1599729000,117.53,117.64,117.53,117.6,6
1599729300,117.26,117.42,117.26,117.4,5
1599729600,117.24,117.31,117.24,117.31,14
1599729900,117.51,118.0,117.4,117.4,118
1599730200,117.63,117.69,117.63,117.68,7
1599730500,117.8,117.94,117.66,117.66,19
1599730800,117.62,117.82,117.26,117.82,38
1599731100,117.72,117.75,117.51,117.75,9
1599731400,118.02,118.1,117.71,117.72,47
1599731700,118.2,118.2,118.04,118.04,66
1599732000,118.37,118.45,118.1,118.2,188
1599732300,118.49,118.6,118.38,118.39,36
1599732600,118.4,118.5,118.33,118.48,27
1599732900,117.85,118.4,117.5,118.39,79
1599733200,117.95,117.96,117.46,117.84,75
1599733500,117.45,117.8,117.26,117.8,92
1599733800,117.54,117.89,117.5,117.5,69
1599734100,117.25,117.55,117.21,117.53,82
1599734400,117.18,117.32,117.17,117.17,23
1599734700,117.4,117.41,116.6,117.23,118
1599735000,117.31,117.39,117.21,117.39,19
1599735300,117.1,117.45,117.0,117.4,57
1599735600,117.88,117.96,117.1,117.31,790
1599735900,117.65,118.2,117.65,117.91,390
1599736200,117.7,118.07,117.6,117.7,282
1599736500,117.75,117.96,117.72,117.77,146
1599736800,117.82,117.92,117.5,117.76,106
1599737100,117.95,118.06,117.8,117.82,202
1599737400,117.96,118.05,117.8,117.96,314
1599737700,117.9,118.19,117.9,118.0,428
1599738000,117.88,118.06,117.8,117.91,110
1599738300,118.02,118.09,117.84,117.85,134
1599738600,118.49,118.49,117.93,118.0,322
1599738900,118.95,119.15,118.44,118.44,1186
1599739200,118.94,119.15,117.22,117.79,3644
1599739500,119.16,119.45,118.9,119.0,1434
1599739800,119.22,119.29,118.92,119.17,658
1599740100,119.03,119.2,118.82,119.18,827
1599740400,119.33,119.39,118.9,119.08,887
1599740700,119.18,119.39,119.15,119.37,774
1599741000,119.08,119.36,118.9,119.25,1253
1599741300,119.41,119.5,119.02,119.08,1189
1599741600,119.72,119.75,119.42,119.42,1141
1599741900,120.04,120.04,119.7,119.72,2099
1599742200,120.17,120.24,120.0,120.03,1898
1599742500,120.25,120.48,120.0,120.14,2303
1599742800,120.25,120.49,120.05,120.28,2444
1599743100,120.44,120.64,120.2,120.3,1705
1599743400,120.15,120.46,120.14,120.44,1475
1599743700,120.5,120.56,120.18,120.18,1090
1599744000,120.5,120.57,120.3,120.5,1384
1599744300,120.47,120.64,120.25,120.49,1932
1599744600,119.43,120.5,118.99,120.44,71344
1599744900,118.81,119.46,118.69,119.44,36149
1599745200,118.8,119.23,118.49,118.81,28361
1599745500,118.66,119.2,118.43,118.79,24499
1599745800,118.7,118.79,118.12,118.66,23625
1599746100,118.96,119.03,118.62,118.7,19301
1599746400,119.53,119.62,118.9,118.97,26657
1599746700,119.17,119.64,118.95,119.53,19681
1599747000,118.97,119.29,118.77,119.18,15510
1599747300,118.93,119.27,118.87,118.96,14698
1599747600,118.77,119.04,118.65,118.94,15796
1599747900,118.22,118.79,118.18,118.79,18922
1599748200,118.65,118.69,118.2,118.2,14933
1599748500,118.35,118.67,118.18,118.65,12185
1599748800,117.54,118.43,117.5,118.36,21100
1599749100,116.87,117.78,116.8,117.56,33844
1599749400,117.28,117.47,116.73,116.88,23933
1599749700,116.15,117.33,116.03,117.27,30112
1599750000,116.43,116.44,115.56,116.15,30615
1599750300,116.77,116.9,116.26,116.44,18811
1599750600,116.81,117.16,116.33,116.76,21080
1599750900,116.76,116.95,116.17,116.82,15688
1599751200,117.12,117.27,116.7,116.78,15226
1599751500,117.53,117.54,117.06,117.13,13588
1599751800,116.81,117.52,116.75,117.52,13074
1599752100,117.38,117.44,116.81,116.82,10356
1599752400,117.55,117.7,117.28,117.36,12930
1599752700,117.52,117.62,117.09,117.56,12012
1599753000,117.25,117.52,117.21,117.51,8949
1599753300,116.89,117.25,116.62,117.24,13507
1599753600,116.68,117.2,116.42,116.89,15274
1599753900,116.92,117.09,116.67,116.67,13788
1599754200,116.84,117.37,116.81,116.91,14211
1599754500,116.82,117.11,116.45,116.83,13496
1599754800,116.48,116.83,116.15,116.82,12810
1599755100,116.55,116.7,116.36,116.48,9856
1599755400,116.5,116.8,116.32,116.55,10135
1599755700,115.91,116.54,115.84,116.48,17946
1599756000,115.94,116.34,115.81,115.91,12498
1599756300,116.21,116.43,115.86,115.93,9467
1599756600,116.35,116.55,116.11,116.2,9231
1599756900,116.45,116.62,116.35,116.35,6371
1599757200,116.75,116.83,116.16,116.43,11028
1599757500,116.71,116.75,116.3,116.74,10048
1599757800,116.31,116.9,116.3,116.73,9442
1599758100,116.7,116.75,116.31,116.33,9904
1599758400,116.47,116.71,116.46,116.7,6704
1599758700,116.13,116.59,115.95,116.47,13991
1599759000,116.22,116.39,116.13,116.14,9329
1599759300,115.84,116.34,115.79,116.23,12127
1599759600,115.71,115.96,115.67,115.85,9044
1599759900,115.73,116.0,115.6,115.72,11875
