,close,high,low,open,volume
1599724800,338.07,338.4,337.75,338.36,199
1599726000,338.38,338.38,337.6,338.07,309
1599727200,338.52,338.75,338.33,338.4,134
1599728400,339.06,339.1,338.11,338.29,93
1599729600,339.12,339.15,338.7,338.85,74
1599730800,339.35,339.4,338.92,339.07,186
1599732000,339.66,340.05,339.3,339.3,363
1599733200,338.21,339.63,338.08,339.63,578
1599734400,338.12,338.46,337.94,338.3,331
1599735600,338.04,338.81,337.95,338.01,1323
1599736800,338.34,338.75,338.0,338.0,740
1599738000,339.3,339.44,338.26,338.36,1086
1599739200,339.45,340.92,338.02,338.18,2944
1599740400,339.98,340.05,339.21,339.48,2247
1599741600,340.78,341.18,340.02,340.02,1227
1599742800,341.65,341.71,340.72,340.87,2021
1599744000,341.98,342.22,341.21,341.65,20900
1599745200,341.61,342.43,341.2,342.01,26299
1599746400,342.33,342.53,341.51,341.62,25882
1599747600,342.06,342.48,341.29,342.35,22732
1599748800,338.8,342.15,338.64,342.07,57582
1599750000,339.85,340.29,338.12,338.8,47584
1599751200,340.43,340.82,339.8,339.84,27362
1599752400,339.43,340.83,339.16,340.45,19270
1599753600,339.27,339.96,338.7,339.43,17818
1599754800,337.51,339.29,337.37,339.26,25018
1599756000,338.51,338.72,337.33,337.5,17789
1599757200,339.6,339.6,338.21,338.5,16175
1599758400,338.39,339.6,338.37,339.6,15467
1599759600,337.78,338.56,337.57,338.4,15034
1599760800,336.58,338.51,336.36,337.75,25254
1599762000,335.59,336.89,334.11,336.57,63722
1599763200,336.02,336.24,334.35,335.58,37585
1599764400,333.33,336.11,333.3,336.03,49063
1599765600,334.51,334.78,332.85,333.32,49016
1599766800,333.92,335.65,333.56,334.5,104896
1599768000,334.04,334.6,333.54,333.93,39806
1599769200,334.26,334.81,333.72,334.0,4581
1599770400,334.33,334.34,334.05,334.3,1285
1599771600,334.14,334.37,333.89,334.3,1486
1599772800,334.37,334.37,334.06,334.18,428
1599774000,334.49,334.5,334.1,334.29,290
